City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,The Valley,40,AI,2021-12-02 15:43:27,70,18.217,-63.0578,303.07,6.17
1,Shīeli,100,KZ,2021-12-02 15:43:27,36,44.1667,66.75,286.08,1.5
2,La Unión,97,PE,2021-12-02 15:43:27,52,-5.4,-80.75,299.36,2.86
3,Cape Town,20,ZA,2021-12-02 15:37:09,46,-33.9258,18.4232,293.76,8.75
4,Cairns,89,AU,2021-12-02 15:40:20,90,-16.9167,145.7667,300.12,1.54
5,Fortuna,90,US,2021-12-02 15:42:39,76,40.5982,-124.1573,283.35,0.0
6,Ulladulla,55,AU,2021-12-02 15:43:28,93,-35.35,150.4667,290.86,1.88
7,Yellowknife,75,CA,2021-12-02 15:39:04,89,62.456,-114.3525,255.68,5.14
8,Lata,4,PT,2021-12-02 15:42:11,54,40.1629,-8.3327,286.51,3.62
9,Rikitea,9,PF,2021-12-02 15:34:17,77,-23.1203,-134.9692,297.33,8.13
10,Mataura,98,NZ,2021-12-02 15:39:10,91,-46.1927,168.8643,286.19,0.79
11,Cherskiy,100,RU,2021-12-02 15:39:17,84,68.75,161.3,247.05,2.33
12,Saint-Philippe,47,RE,2021-12-02 15:39:01,84,-21.3585,55.7679,298.92,5.98
13,Nanortalik,98,GL,2021-12-02 15:42:19,85,60.1432,-45.2371,272.38,6.47
14,Atuona,70,PF,2021-12-02 15:40:31,78,-9.8,-139.0333,298.82,9.65
15,Hithadhoo,79,MV,2021-12-02 15:39:05,76,-0.6,73.0833,301.15,3.11
16,Misratah,0,LY,2021-12-02 15:43:30,33,32.3754,15.0925,292.97,5.34
17,Jamestown,90,US,2021-12-02 15:40:13,82,42.097,-79.2353,282.92,4.47
18,Hong Kong,11,HK,2021-12-02 15:35:53,34,22.2855,114.1577,292.18,1.79
19,Ushuaia,75,AR,2021-12-02 15:39:06,54,-54.8,-68.3,283.96,5.66
20,Saint Paul Harbor,1,US,2021-12-02 15:38:58,58,57.79,-152.4072,265.88,13.38
21,Kajaani,40,FI,2021-12-02 15:43:31,85,64.2273,27.7285,255.18,0.51
